"Source";"Target";"Type";"Year"
4249;16415;"Directed";1987
4249;272;"Directed";1987
4249;9607;"Directed";1987
4249;18498;"Directed";1987
4249;18559;"Directed";1987
4249;26485;"Directed";1987
4249;10986;"Directed";1987
4249;37308;"Directed";1987
4249;28162;"Directed";1987
4249;7555;"Directed";1987
4249;18507;"Directed";1987
4249;12833;"Directed";1987
4249;36724;"Directed";1987
4249;19981;"Directed";1987
8984;582;"Directed";1990
8984;6060;"Directed";1990
8984;28557;"Directed";1990
8984;17925;"Directed";1990
8984;24007;"Directed";1990
8984;14349;"Directed";1990
8984;27775;"Directed";1990
8984;1455;"Directed";1990
8984;16523;"Directed";1990
8984;24983;"Directed";1990
8984;27376;"Directed";1990
8984;32683;"Directed";1990
8984;23603;"Directed";1990
8984;13461;"Directed";1990
8984;6089;"Directed";1990
8984;26719;"Directed";1990
8984;37270;"Directed";1990
8984;37055;"Directed";1990
8984;22253;"Directed";1990
8984;30354;"Directed";1990
8984;7425;"Directed";1990
8984;9958;"Directed";1990
8984;31811;"Directed";1990
8984;30669;"Directed";1990
8984;7828;"Directed";1990
8984;9242;"Directed";1990
8984;21764;"Directed";1990
8984;32913;"Directed";1990
8984;651;"Directed";1990
8984;33039;"Directed";1990
19685;15854;"Directed";1989
19685;19071;"Directed";1989
19685;15556;"Directed";1989
19685;19987;"Directed";1989
19685;13130;"Directed";1989
19685;28831;"Directed";1989
19685;14705;"Directed";1989
19685;31995;"Directed";1989
19685;30554;"Directed";1989
19685;21718;"Directed";1989
19685;33207;"Directed";1989
19685;2048;"Directed";1989
19685;35560;"Directed";1989
19685;20854;"Directed";1989
19685;22496;"Directed";1989
19685;617;"Directed";1989
19685;38;"Directed";1989
19685;9078;"Directed";1989
19685;35119;"Directed";1989
19685;36773;"Directed";1989
19685;34676;"Directed";1989
19685;4417;"Directed";1989
19685;5326;"Directed";1989
19685;19116;"Directed";1989
19685;35288;"Directed";1989
19685;29688;"Directed";1989
19685;28247;"Directed";1989
19685;2967;"Directed";1989
19685;16792;"Directed";1989
19685;2121;"Directed";1989
19685;8511;"Directed";1989
19685;10892;"Directed";1989
19685;22661;"Directed";1989
19685;31493;"Directed";1989
19685;25632;"Directed";1989
19685;13501;"Directed";1989
19685;31203;"Directed";1989
19685;20350;"Directed";1989
19685;34110;"Directed";1989
19685;18591;"Directed";1989
19685;9122;"Directed";1989
19685;30321;"Directed";1989
19685;32354;"Directed";1989
19685;14729;"Directed";1989
19685;36224;"Directed";1989
19685;23882;"Directed";1989
19685;10295;"Directed";1989
19685;29737;"Directed";1989
19685;27127;"Directed";1989
19685;9148;"Directed";1989
19685;15054;"Directed";1989
19685;23612;"Directed";1989
19685;2144;"Directed";1989
19685;2517;"Directed";1989
19685;30354;"Directed";1989
19685;6093;"Directed";1989
19685;34156;"Directed";1989
19685;2561;"Directed";1989
19685;30376;"Directed";1989
19685;2167;"Directed";1989
19685;16573;"Directed";1989
19685;15983;"Directed";1989
19685;10926;"Directed";1989
19685;13256;"Directed";1989
19685;4240;"Directed";1989
19685;33895;"Directed";1989
19685;10641;"Directed";1989
19685;31837;"Directed";1989
19685;8481;"Directed";1989
19685;24817;"Directed";1989
19685;17476;"Directed";1989
19685;34484;"Directed";1989
19685;3944;"Directed";1989
19685;35076;"Directed";1989
19685;23370;"Directed";1989
19685;20879;"Directed";1989
19685;13012;"Directed";1989
19685;18125;"Directed";1989
19685;10969;"Directed";1989
19685;765;"Directed";1989
19685;31302;"Directed";1989
19685;20080;"Directed";1989
19685;16021;"Directed";1989
19685;26363;"Directed";1989
19685;15142;"Directed";1989
19685;26540;"Directed";1989
19685;28697;"Directed";1989
19685;34919;"Directed";1989
19685;3999;"Directed";1989
19685;1070;"Directed";1989
19685;8352;"Directed";1989
19685;8688;"Directed";1989
19685;37500;"Directed";1989
19685;13668;"Directed";1989
19685;6615;"Directed";1989
19685;32506;"Directed";1989
19685;2864;"Directed";1989
19685;28157;"Directed";1989
19685;25816;"Directed";1989
19685;35785;"Directed";1989
19685;25530;"Directed";1989
19685;22854;"Directed";1989
19685;33154;"Directed";1989
19685;36579;"Directed";1989
19685;24654;"Directed";1989
19685;24933;"Directed";1989
19685;28054;"Directed";1989
19685;36409;"Directed";1989
19685;28750;"Directed";1989
19685;841;"Directed";1989
19685;35813;"Directed";1989
